,date,quarter,trade_date,holding_period,tickers,portfolio_value,daily_return,cum_return,quarter_return
0,2022-08-16,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",9726.58202847322,,-0.027341797152678038,-0.13927237986455898
1,2022-08-17,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",9634.191104364458,-0.009498806861269471,-0.03658088956355421,-0.13927237986455898
2,2022-08-18,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",9654.834394760177,0.002142711325953117,-0.03451656052398233,-0.13927237986455898
3,2022-08-19,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",9493.030692069084,-0.0167588273475624,-0.05069693079309168,-0.13927237986455898
4,2022-08-22,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",9280.87211293854,-0.022348877404114065,-0.07191278870614604,-0.13927237986455898
5,2022-08-23,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",9282.159948439301,0.00013876233667375892,-0.07178400515606986,-0.13927237986455898
6,2022-08-24,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",9317.134093067356,0.003767888597301594,-0.06828659069326437,-0.13927237986455898
7,2022-08-25,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",9490.601874755903,0.018618148022321535,-0.05093981252440971,-0.13927237986455898
8,2022-08-26,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",9117.280818888094,-0.0393358672921269,-0.08827191811119062,-0.13927237986455898
9,2022-08-29,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",9051.026795622769,-0.007266862190760559,-0.09489732043772314,-0.13927237986455898
10,2022-08-30,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8977.231748061851,-0.008153223852635838,-0.10227682519381487,-0.13927237986455898
11,2022-08-31,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8847.280118889477,-0.014475690593643176,-0.11527198811105221,-0.13927237986455898
12,2022-09-01,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8772.729437201115,-0.008426395534735343,-0.12272705627988856,-0.13927237986455898
13,2022-09-02,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8688.062385458688,-0.009651164138653634,-0.1311937614541312,-0.13927237986455898
14,2022-09-06,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8700.340931591982,0.0014132663404724521,-0.12996590684080178,-0.13927237986455898
15,2022-09-07,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8871.537665728047,0.0196770144391043,-0.11284623342719535,-0.13927237986455898
16,2022-09-08,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8957.619221799085,0.00970311566207771,-0.10423807782009153,-0.13927237986455898
17,2022-09-09,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",9121.004480129897,0.018239808400562607,-0.08789955198701027,-0.13927237986455898
18,2022-09-12,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",9229.352449011816,0.011878951393780701,-0.07706475509881838,-0.13927237986455898
19,2022-09-13,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8808.040558590004,-0.04564912790462583,-0.11919594414099954,-0.13927237986455898
20,2022-09-14,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8828.518545476054,0.002324919685579685,-0.1171481454523946,-0.13927237986455898
21,2022-09-15,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8682.236974392481,-0.016569209242759175,-0.1317763025607519,-0.13927237986455898
22,2022-09-16,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8579.14790792196,-0.01187356055525468,-0.14208520920780388,-0.13927237986455898
23,2022-09-19,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8627.981910912245,0.005692174038075759,-0.13720180890877542,-0.13927237986455898
24,2022-09-20,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8511.227987817227,-0.013532008330633394,-0.1488772012182773,-0.13927237986455898
25,2022-09-21,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8348.56688151505,-0.0191113557920205,-0.16514331184849507,-0.13927237986455898
26,2022-09-22,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8174.099179721435,-0.02089792227452969,-0.18259008202785654,-0.13927237986455898
27,2022-09-23,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8058.5336177662175,-0.0141380180756695,-0.1941466382233783,-0.13927237986455898
28,2022-09-26,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8007.752619389064,-0.006301518463011524,-0.19922473806109353,-0.13927237986455898
29,2022-09-27,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",7978.591294512468,-0.003641636581778074,-0.20214087054875318,-0.13927237986455898
30,2022-09-28,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8129.74853961265,0.01894535507842665,-0.187025146038735,-0.13927237986455898
31,2022-09-29,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",7999.691791645802,-0.015997634777156877,-0.2000308208354198,-0.13927237986455898
32,2022-09-30,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",7904.219533851287,-0.011934492013082054,-0.20957804661487123,-0.13927237986455898
33,2022-10-03,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8152.539849353745,0.031416171380233004,-0.1847460150646255,-0.13927237986455898
34,2022-10-04,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8415.609281262625,0.03226840184408708,-0.1584390718737375,-0.13927237986455898
35,2022-10-05,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8427.078145599362,0.001362808556508499,-0.15729218544006385,-0.13927237986455898
36,2022-10-06,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8334.180310760232,-0.011023730079878447,-0.1665819689239768,-0.13927237986455898
37,2022-10-07,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8056.644343613043,-0.033300931441195614,-0.1943355656386957,-0.13927237986455898
38,2022-10-10,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",7927.57004626813,-0.01602085084558036,-0.20724299537318702,-0.13927237986455898
39,2022-10-11,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",7806.720874947124,-0.015244163169254477,-0.2193279125052876,-0.13927237986455898
40,2022-10-12,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",7729.201201118266,-0.009929863648337811,-0.22707987988817335,-0.13927237986455898
41,2022-10-13,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",7828.726980909441,0.01287659322114365,-0.21712730190905583,-0.13927237986455898
42,2022-10-14,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",7598.767726790805,-0.029373773626210076,-0.2401232273209195,-0.13927237986455898
43,2022-10-17,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",7852.993829093224,0.03345622756780675,-0.21470061709067756,-0.13927237986455898
44,2022-10-18,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",7961.421189604135,0.013807136853873025,-0.20385788103958646,-0.13927237986455898
45,2022-10-19,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",7871.29915298678,-0.011319842835979421,-0.21287008470132196,-0.13927237986455898
46,2022-10-20,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",7812.732490582684,-0.007440533165592345,-0.21872675094173166,-0.13927237986455898
47,2022-10-21,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",7974.58050244836,0.020715929037729675,-0.20254194975516404,-0.13927237986455898
48,2022-10-24,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8067.806118541497,0.011690347356141828,-0.19321938814585027,-0.13927237986455898
49,2022-10-25,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8244.442011251951,0.02189391888143022,-0.17555579887480488,-0.13927237986455898
50,2022-10-26,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8174.761291339205,-0.008451841836918272,-0.18252387086607946,-0.13927237986455898
51,2022-10-27,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8112.990617806328,-0.007556266333834105,-0.18870093821936718,-0.13927237986455898
52,2022-10-28,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8304.832954026222,0.02364631555210228,-0.16951670459737778,-0.13927237986455898
53,2022-10-31,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8216.9245070066,-0.010585215561380146,-0.1783075492993399,-0.13927237986455898
54,2022-11-01,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8153.850447178744,-0.007676115287912566,-0.18461495528212568,-0.13927237986455898
55,2022-11-02,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",7887.165383316154,-0.03270664155421987,-0.21128346166838463,-0.13927237986455898
56,2022-11-03,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",7722.0301384454615,-0.02093721087933631,-0.22779698615545385,-0.13927237986455898
57,2022-11-04,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",7794.211560841923,0.00934746706531131,-0.22057884391580773,-0.13927237986455898
58,2022-11-07,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",7866.920406368274,0.00932856966465212,-0.2133079593631726,-0.13927237986455898
59,2022-11-08,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",7934.7830483239695,0.008626328785627635,-0.206521695167603,-0.13927237986455898
60,2022-11-09,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",7764.303168135333,-0.02148513439502875,-0.22356968318646664,-0.13927237986455898
61,2022-11-10,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8315.944457288293,0.07104839638628402,-0.16840555427117065,-0.13927237986455898
62,2022-11-11,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8425.825280180155,0.013213270417596457,-0.1574174719819844,-0.13927237986455898
63,2022-11-14,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8269.955460376177,-0.018499056723930263,-0.1730044539623823,-0.13927237986455898
64,2022-11-15,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",8371.937801419905,0.01233166750804826,-0.16280621985800958,-0.13927237986455898
65,2022-11-16,2022-09-30,2022-11-16,2022-11-16 to 2023-02-15,"['AMZN', 'CNI', 'FISV', 'MCO', 'MSFT', 'RH', 'SPGI', 'TEAM', 'WMS', 'ZS']",8391.093699911882,0.0022881080756151917,-0.16089063000881176,0.11009831515656221
66,2022-11-17,2022-09-30,2022-11-16,2022-11-16 to 2023-02-15,"['AMZN', 'CNI', 'FISV', 'MCO', 'MSFT', 'RH', 'SPGI', 'TEAM', 'WMS', 'ZS']",8237.1609949449,-0.01834477250189681,-0.17628390050551002,0.11009831515656221
67,2022-11-18,2022-09-30,2022-11-16,2022-11-16 to 2023-02-15,"['AMZN', 'CNI', 'FISV', 'MCO', 'MSFT', 'RH', 'SPGI', 'TEAM', 'WMS', 'ZS']",8256.30305995084,0.0023238668052849576,-0.17436969400491598,0.11009831515656221
68,2022-11-21,2022-09-30,2022-11-16,2022-11-16 to 2023-02-15,"['AMZN', 'CNI', 'FISV', 'MCO', 'MSFT', 'RH', 'SPGI', 'TEAM', 'WMS', 'ZS']",8196.82869043709,-0.007203510951801717,-0.18031713095629098,0.11009831515656221
69,2022-11-22,2022-09-30,2022-11-16,2022-11-16 to 2023-02-15,"['AMZN', 'CNI', 'FISV', 'MCO', 'MSFT', 'RH', 'SPGI', 'TEAM', 'WMS', 'ZS']",8295.889340138152,0.012085240944053277,-0.17041106598618483,0.11009831515656221
70,2022-11-23,2022-09-30,2022-11-16,2022-11-16 to 2023-02-15,"['AMZN', 'CNI', 'FISV', 'MCO', 'MSFT', 'RH', 'SPGI', 'TEAM', 'WMS', 'ZS']",8462.309594438071,0.02006056824971436,-0.1537690405561929,0.11009831515656221
71,2022-11-25,2022-09-30,2022-11-16,2022-11-16 to 2023-02-15,"['AMZN', 'CNI', 'FISV', 'MCO', 'MSFT', 'RH', 'SPGI', 'TEAM', 'WMS', 'ZS']",8467.541168813901,0.0006182206308391613,-0.15324588311860987,0.11009831515656221
72,2022-11-28,2022-09-30,2022-11-16,2022-11-16 to 2023-02-15,"['AMZN', 'CNI', 'FISV', 'MCO', 'MSFT', 'RH', 'SPGI', 'TEAM', 'WMS', 'ZS']",8358.76599928598,-0.012846134120793051,-0.16412340007140191,0.11009831515656221
73,2022-11-29,2022-09-30,2022-11-16,2022-11-16 to 2023-02-15,"['AMZN', 'CNI', 'FISV', 'MCO', 'MSFT', 'RH', 'SPGI', 'TEAM', 'WMS', 'ZS']",8283.692237577441,-0.0089814407670884,-0.17163077624225587,0.11009831515656221
74,2022-11-30,2022-09-30,2022-11-16,2022-11-16 to 2023-02-15,"['AMZN', 'CNI', 'FISV', 'MCO', 'MSFT', 'RH', 'SPGI', 'TEAM', 'WMS', 'ZS']",8575.96583855674,0.035283010594412634,-0.14240341614432606,0.11009831515656221
75,2022-12-01,2022-09-30,2022-11-16,2022-11-16 to 2023-02-15,"['AMZN', 'CNI', 'FISV', 'MCO', 'MSFT', 'RH', 'SPGI', 'TEAM', 'WMS', 'ZS']",8710.859893052952,0.015729313413276547,-0.12891401069470487,0.11009831515656221
76,2022-12-02,2022-09-30,2022-11-16,2022-11-16 to 2023-02-15,"['AMZN', 'CNI', 'FISV', 'MCO', 'MSFT', 'RH', 'SPGI', 'TEAM', 'WMS', 'ZS']",8581.50303712467,-0.014850067331635741,-0.14184969628753297,0.11009831515656221
77,2022-12-05,2022-09-30,2022-11-16,2022-11-16 to 2023-02-15,"['AMZN', 'CNI', 'FISV', 'MCO', 'MSFT', 'RH', 'SPGI', 'TEAM', 'WMS', 'ZS']",8243.31973451114,-0.03940839980484845,-0.17566802654888602,0.11009831515656221
78,2022-12-06,2022-09-30,2022-11-16,2022-11-16 to 2023-02-15,"['AMZN', 'CNI', 'FISV', 'MCO', 'MSFT', 'RH', 'SPGI', 'TEAM', 'WMS', 'ZS']",8097.22248658307,-0.017723108241989638,-0.190277751341693,0.11009831515656221
79,2022-12-07,2022-09-30,2022-11-16,2022-11-16 to 2023-02-15,"['AMZN', 'CNI', 'FISV', 'MCO', 'MSFT', 'RH', 'SPGI', 'TEAM', 'WMS', 'ZS']",8079.982491620825,-0.002129124522737391,-0.19200175083791748,0.11009831515656221
80,2022-12-08,2022-09-30,2022-11-16,2022-11-16 to 2023-02-15,"['AMZN', 'CNI', 'FISV', 'MCO', 'MSFT', 'RH', 'SPGI', 'TEAM', 'WMS', 'ZS']",8231.423409465902,0.018742728465330982,-0.17685765905340978,0.11009831515656221
81,2022-12-09,2022-09-30,2022-11-16,2022-11-16 to 2023-02-15,"['AMZN', 'CNI', 'FISV', 'MCO', 'MSFT', 'RH', 'SPGI', 'TEAM', 'WMS', 'ZS']",8186.395535705778,-0.005470241478326088,-0.18136044642942228,0.11009831515656221
82,2022-12-12,2022-09-30,2022-11-16,2022-11-16 to 2023-02-15,"['AMZN', 'CNI', 'FISV', 'MCO', 'MSFT', 'RH', 'SPGI', 'TEAM', 'WMS', 'ZS']",8273.922115582165,0.010691711571305218,-0.17260778844178348,0.11009831515656221
83,2022-12-13,2022-09-30,2022-11-16,2022-11-16 to 2023-02-15,"['AMZN', 'CNI', 'FISV', 'MCO', 'MSFT', 'RH', 'SPGI', 'TEAM', 'WMS', 'ZS']",8413.945760079116,0.016923490763013804,-0.15860542399208843,0.11009831515656221
84,2022-12-14,2022-09-30,2022-11-16,2022-11-16 to 2023-02-15,"['AMZN', 'CNI', 'FISV', 'MCO', 'MSFT', 'RH', 'SPGI', 'TEAM', 'WMS', 'ZS']",8400.659521121948,-0.0015790735210352569,-0.1599340478878052,0.11009831515656221
85,2022-12-15,2022-09-30,2022-11-16,2022-11-16 to 2023-02-15,"['AMZN', 'CNI', 'FISV', 'MCO', 'MSFT', 'RH', 'SPGI', 'TEAM', 'WMS', 'ZS']",8173.647903138918,-0.02702307091630729,-0.18263520968610825,0.11009831515656221
86,2022-12-16,2022-09-30,2022-11-16,2022-11-16 to 2023-02-15,"['AMZN', 'CNI', 'FISV', 'MCO', 'MSFT', 'RH', 'SPGI', 'TEAM', 'WMS', 'ZS']",8069.080616662167,-0.012793221302889068,-0.19309193833378335,0.11009831515656221
